Symptoms,Diagnosis,Differential Diagnosis,Advise,Image analysis,
UlcerroundPNADGNADMNADPiNADSharpYesHnoPalate,APTHOUS ULCER,TRAUMATICULCER ,SYMPTOMATIC TREATMENT & OBSERVE SHARP TEETH,,
UlcerroundWhiteGNADMNADPiNADSharpYesHnoPalate,APTHOUS ULCER,TRAUMATICULCER & CANDIDIASIS,SYMPTOMATIC TREATMENT & OBSERVE SHARP TEETH,,
UlcerroundPNADGNADMNADPiNADSNOYesHnoDorsumtongue,APTHOUS ULCER,HERPETIC STOMATITIS,SYMPTOMATIC TREATMENT,,
UlcerroundRedGNADMNADPiNADSNOYesHnoDorsumtongue,APTHOUS ULCER,HERPETIC STOMATITIS,SYMPTOMATIC TREATMENT,,
UlcerroundRedGNADMNADPiNADSharpYesHnoDorsumtongue,APTHOUS ULCER,TRAUMATICULCER ,SYMPTOMATIC TREATMENT & OBSERVE SHARP TEETH,,
UlcerroundPNADGNADMNADPiNADSharpYesHnoDorsumtongue,APTHOUS ULCER,TRAUMATICULCER ,SYMPTOMATIC TREATMENT & OBSERVE SHARP TEETH,,
UlcerroundWhiteGNADMNADPiNADSharpYesHnoDorsumtongue,APTHOUS ULCER,TRAUMATICULCER & CANDIDIASIS,SYMPTOMATIC TREATMENT & OBSERVE SHARP TEETH,,
UlcerroundRedGNADMNADDarkSNOYesSmokingBmucosa,INFLAMMATORY LESION,APTHOUS STOMATITIS & HERPETIC STOMATITIS,SYMPTOMATIC TREATMENT  & STOP THE HABIT,,
UlcerroundRedGNADMNADDarkSNOYesSmokingMixedareas,INFLAMMATORY LESION,APTHOUS STOMATITIS & HERPETIC STOMATITIS,SYMPTOMATIC TREATMENT  & STOP THE HABIT,,
UlcerroundRedGNADMNADDarkSNOYesSmokingBsulcus,INFLAMMATORY LESION,APTHOUS STOMATITIS & HERPETIC STOMATITIS,SYMPTOMATIC TREATMENT  & STOP THE HABIT,,
UlcerroundRedGNADMNADDarkSNOYesSmokingPalate,INFLAMMATORY LESION,APTHOUS STOMATITIS & HERPETIC STOMATITIS,SYMPTOMATIC TREATMENT  & STOP THE HABIT,,
UlcerroundRedGNADMNADDarkSNOYesSmokingDorsumtongue,INFLAMMATORY LESION,APTHOUS STOMATITIS & HERPETIC STOMATITIS,SYMPTOMATIC TREATMENT  & STOP THE HABIT,,
UNADWhiteGNADMNADPiNADSNONoHnoBmucosa,LINEA ALBA,ORAL LICHEN PLANUS,SYMPTOMATIC TREATMENT  & OBSERVE TWO WEEKS,,
UNADRedwhitelinesGNADMNADPiNADSNONoHnoBmucosa,LINEA ALBA,ORAL LICHEN PLANUS,SYMPTOMATIC TREATMENT  & OBSERVE TWO WEEKS,,
UNADRedwhitelinesGNADMNADPiNADSNOYesHyesBmucosa,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADDarkSNOYesHnoBmucosa,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADPiNADSNOYesHnoBmucosa,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADDarkSNOYesHyesBmucosa,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADPiNADSNOYesSmokingBmucosa,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADDarkSNOYesSmokingBmucosa,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADPiNADSNOYesHyesMixedareas,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADDarkSNOYesHnoMixedareas,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADPiNADSNOYesHnoMixedareas,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADDarkSNOYesHyesMixedareas,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADPiNADSNOYesSmokingMixedareas,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADDarkSNOYesSmokingMixedareas,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADPiNADSNOYesHyesBsulcus,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADDarkSNOYesHnoBsulcus,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADPiNADSNOYesHnoBsulcus,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADDarkSNOYesHyesBsulcus,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADPiNADSNOYesSmokingBsulcus,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADDarkSNOYesSmokingBsulcus,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADPiNADSNOYesHyesPalate,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADDarkSNOYesHnoPalate,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADPiNADSNOYesHnoPalate,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADDarkSNOYesHyesPalate,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADPiNADSNOYesSmokingPalate,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADDarkSNOYesSmokingPalate,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADPiNADSNOYesHyesDorsumtongue,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADDarkSNOYesHnoDorsumtongue,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADPiNADSNOYesHnoDorsumtongue,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADDarkSNOYesHyesDorsumtongue,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADPiNADSNOYesSmokingDorsumtongue,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADRedwhitelinesGNADMNADDarkSNOYesSmokingDorsumtongue,ORAL LICHEN PLANUS,SPECKLEDLEUKOPLAKIA & CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST,,
UNADWhiteGNADMNADPiNADSNOYesHnoBmucosa,CANDIDASIS,FRICTIONAL KERATOSIS & LEUKOPLAKIA,SYMPTOMATIC TREATMENT & FOLLOW UP IS NEEDED,,
UNADWhiteGNADMNADPiNADSNOYesHnoMixedareas,CANDIDASIS,FRICTIONAL KERATOSIS & LEUKOPLAKIA,SYMPTOMATIC TREATMENT & FOLLOW UP IS NEEDED,,
UNADWhiteGNADMNADPiNADSNOYesHnoBsulcus,CANDIDASIS,FRICTIONAL KERATOSIS & LEUKOPLAKIA,SYMPTOMATIC TREATMENT & FOLLOW UP IS NEEDED,,
UNADWhiteGNADMNADPiNADSNOYesHnoPalate,CANDIDASIS,FRICTIONAL KERATOSIS & LEUKOPLAKIA,SYMPTOMATIC TREATMENT & FOLLOW UP IS NEEDED,,
UNADWhiteGNADMNADPiNADSNOYesHnoDorsumtongue,GEOGRAPHIC TONGUE,CANDIDIASIS & FISSURED TONGUE,SYMPTOMATIC TREATMENT & OBSERVE TWO WEEKS,,
UNADWhiteGNADMNADDarkSNOYesHnoDorsumtongue,GEOGRAPHIC TONGUE,CANDIDIASIS & FISSURED TONGUE,SYMPTOMATIC TREATMENT & OBSERVE TWO WEEKS,,
UNADRedwhiteGNADMNADPiNADSNOYesHnoDorsumtongue,GEOGRAPHIC TONGUE,CANDIDIASIS & FISSURED TONGUE,SYMPTOMATIC TREATMENT & OBSERVE TWO WEEKS,,
UNADRedwhiteGNADMNADDarkSNOYesHnoDorsumtongue,GEOGRAPHIC TONGUE,CANDIDIASIS & FISSURED TONGUE,SYMPTOMATIC TREATMENT & OBSERVE TWO WEEKS,,
UNADPNADGNADMNADDarkSNONoSmokingPalate,SQUAMOUS,MELANIN PATCHES,SYMPTOMATIC TREATMENT & STOP THE HABIT &,,
UNADPNADGNADMNADDarkSNONoHyesBmucosa,MELANIN PIGMENTATION,LEUKOPLAKIA,SYMPTOMATIC TREATMENT & FOLLOW UP IS NEEDED,,
UNADPNADGNADMNADDarkSNONoHnoBmucosa,MELANIN PIGMENTATION,LEUKOPLAKIA,SYMPTOMATIC TREATMENT & FOLLOW UP IS NEEDED,,
UNADPNADGNADMNADDarkSNONoSmokingBmucosa,MELANIN PIGMENTATION,LEUKOPLAKIA,SYMPTOMATIC TREATMENT & FOLLOW UP IS NEEDED,,
UNADPNADGNADMNADDarkSNONoHyesMixedareas,MELANIN PIGMENTATION,LEUKOPLAKIA,SYMPTOMATIC TREATMENT & FOLLOW UP IS NEEDED,,
UNADPNADGNADMNADDarkSNONoHnoMixedareas,MELANIN PIGMENTATION,LEUKOPLAKIA,SYMPTOMATIC TREATMENT & FOLLOW UP IS NEEDED,,
UNADPNADGNADMNADDarkSNONoSmokingMixedareas,MELANIN PIGMENTATION,LEUKOPLAKIA,SYMPTOMATIC TREATMENT & FOLLOW UP IS NEEDED,,
UNADPNADGNADMNADDarkSNONoHyesBsulcus,MELANIN PIGMENTATION,LEUKOPLAKIA,SYMPTOMATIC TREATMENT & FOLLOW UP IS NEEDED,,
UNADPNADGNADMNADDarkSNONoHnoBsulcus,MELANIN PIGMENTATION,LEUKOPLAKIA,SYMPTOMATIC TREATMENT & FOLLOW UP IS NEEDED,,
UNADPNADGNADMNADDarkSNONoSmokingBsulcus,MELANIN PIGMENTATION,LEUKOPLAKIA,SYMPTOMATIC TREATMENT & FOLLOW UP IS NEEDED,,
UNADPNADGNADMNADDarkSNONoHyesPalate,MELANIN PIGMENTATION,LEUKOPLAKIA,SYMPTOMATIC TREATMENT & FOLLOW UP IS NEEDED,,
UNADPNADGNADMNADDarkSNONoHnoPalate,MELANIN PIGMENTATION,LEUKOPLAKIA,SYMPTOMATIC TREATMENT & FOLLOW UP IS NEEDED,,
UNADPNADGNADMNADDarkSNONoHyesDorsumtongue,MELANIN PIGMENTATION,LEUKOPLAKIA,SYMPTOMATIC TREATMENT & FOLLOW UP IS NEEDED,,
UNADPNADGNADMNADDarkSNONoHnoDorsumtongue,MELANIN PIGMENTATION,LEUKOPLAKIA,SYMPTOMATIC TREATMENT & FOLLOW UP IS NEEDED,,
UNADPNADGNADMNADDarkSNONoSmokingDorsumtongue,MELANIN PIGMENTATION,LEUKOPLAKIA,SYMPTOMATIC TREATMENT & FOLLOW UP IS NEEDED,,
UNADWhiteGNADMNADDarkSNOYesHyesBsulcus,TOBACCO POUCH KERATOSIS,ORALLEUKOPLAKIA & SMOKER'S MELANOSIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS NEEDED & ,,
UNADWhiteGNADMNADDarkSNOYesSmokingBsulcus,TOBACCO POUCH KERATOSIS,ORALLEUKOPLAKIA & SMOKER'S MELANOSIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS NEEDED & ,,
UNADWhiteGNADMNADPiNADSharpYesHnoBmucosa,FRICTIONAL KERATOSIS,ORALLEUKOPLAKIA,SYMPTOMATIC TREATMENT & OBSERVE SHARP TEETH &REFER TO A SPECIALIST IF NO CHANGE AFTER TWO WEEKS,,
UNADWhiteGNADMNADPiNADSharpYesHnoMixedareas,FRICTIONAL KERATOSIS,ORALLEUKOPLAKIA,SYMPTOMATIC TREATMENT & OBSERVE SHARP TEETH &REFER TO A SPECIALIST IF NO CHANGE AFTER TWO WEEKS,,
UNADWhiteGNADMNADPiNADSharpYesHnoBsulcus,FRICTIONAL KERATOSIS,ORALLEUKOPLAKIA,SYMPTOMATIC TREATMENT & OBSERVE SHARP TEETH &REFER TO A SPECIALIST IF NO CHANGE AFTER TWO WEEKS,,
UNADWhiteGNADMNADPiNADSharpYesHnoPalate,FRICTIONAL KERATOSIS,ORALLEUKOPLAKIA,SYMPTOMATIC TREATMENT & OBSERVE SHARP TEETH &REFER TO A SPECIALIST IF NO CHANGE AFTER TWO WEEKS,,
UNADWhiteGNADMNADPiNADSharpYesHnoDorsumtongue,FRICTIONAL KERATOSIS,ORALLEUKOPLAKIA,SYMPTOMATIC TREATMENT & OBSERVE SHARP TEETH &REFER TO A SPECIALIST IF NO CHANGE AFTER TWO WEEKS,,
UNADWhiteGNADMNADPiNADSNOYesHyesBmucosa,ORALLEUKOPLAKIA,CANDIDIASIS ,SYMPTOMATIC TREATMENT & STOP THE HABIT & REFER TO A SPECIALIST,,
UNADWhiteGNADMNADDarkSNOYesHyesBmucosa,ORALLEUKOPLAKIA,CANDIDIASIS & MELANIN PIGMENTATION,SYMPTOMATIC TREATMENT & STOP THE HABIT & REFER TO A SPECIALIST,,
UNADWhiteGNADMNADPiNADSNOYesHyesMixedareas,ORALLEUKOPLAKIA,CANDIDIASIS ,SYMPTOMATIC TREATMENT & STOP THE HABIT & REFER TO A SPECIALIST,,
UNADWhiteGNADMNADDarkSNOYesHyesMixedareas,ORALLEUKOPLAKIA,CANDIDIASIS & MELANIN PIGMENTATION,SYMPTOMATIC TREATMENT & STOP THE HABIT & REFER TO A SPECIALIST,,
UNADWhiteGNADMNADPiNADSNOYesHyesBsulcus,ORALLEUKOPLAKIA,CANDIDIASIS ,SYMPTOMATIC TREATMENT & STOP THE HABIT & REFER TO A SPECIALIST,,
UNADWhiteGNADMNADPiNADSNOYesHyesPalate,ORALLEUKOPLAKIA,CANDIDIASIS ,SYMPTOMATIC TREATMENT & STOP THE HABIT & REFER TO A SPECIALIST,,
UNADWhiteGNADMNADDarkSNOYesHyesPalate,ORALLEUKOPLAKIA,CANDIDIASIS & MELANIN PIGMENTATION,SYMPTOMATIC TREATMENT & STOP THE HABIT & REFER TO A SPECIALIST,,
UNADWhiteGNADMNADPiNADSNOYesHyesDorsumtongue,ORALLEUKOPLAKIA,CANDIDIASIS ,SYMPTOMATIC TREATMENT & STOP THE HABIT & REFER TO A SPECIALIST,,
UNADWhiteGNADMNADDarkSNOYesHyesDorsumtongue,ORALLEUKOPLAKIA,CANDIDIASIS & MELANIN PIGMENTATION,SYMPTOMATIC TREATMENT & STOP THE HABIT & REFER TO A SPECIALIST,,
UNADWhiteGNADMNADPiNADSNOYesHyesBsulcus,ORALLEUKOPLAKIA,TOBACCO POUCH KERATOSIS,SYMPTOMATIC TREATMENT & STOP THE HABIT & REFER TO A SPECIALIST,,
UNADWhiteGNADMNADPiNADSNOYesSmokingBsulcus,ORALLEUKOPLAKIA,TOBACCO POUCH KERATOSIS,SYMPTOMATIC TREATMENT & STOP THE HABIT & REFER TO A SPECIALIST,,
UNADWhiteIrregularL1MNADPiNADSNOYesHyesBmucosa,VERRUCOUSLEUKOPLAKIA,VERRUCOUS CARCINOMA & CARCINOMA IN SITU,SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
UNADWhiteIrregularM1MNADPiNADSNOYesHyesBmucosa,VERRUCOUSLEUKOPLAKIA,VERRUCOUS CARCINOMA & ORAL SQUAMOUS CELL CARCINOMA,SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
UNADWhiteIrregularL1MNADPiNADSNOYesSmokingBmucosa,VERRUCOUSLEUKOPLAKIA,VERRUCOUS CARCINOMA & CARCINOMA IN SITU,SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
UNADWhiteIrregularM1MNADPiNADSNOYesSmokingBmucosa,VERRUCOUSLEUKOPLAKIA,VERRUCOUS CARCINOMA & ORAL SQUAMOUS CELL CARCINOMA,SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
UNADWhiteIrregularL1MNADPiNADSNOYesHyesMixedareas,VERRUCOUSLEUKOPLAKIA,VERRUCOUS CARCINOMA & CARCINOMA IN SITU,SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
UNADWhiteIrregularM1MNADPiNADSNOYesHyesMixedareas,VERRUCOUSLEUKOPLAKIA,VERRUCOUS CARCINOMA & ORAL SQUAMOUS CELL CARCINOMA,SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
UNADWhiteIrregularL1MNADPiNADSNOYesSmokingMixedareas,VERRUCOUSLEUKOPLAKIA,VERRUCOUS CARCINOMA & CARCINOMA IN SITU,SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
UNADWhiteIrregularM1MNADPiNADSNOYesSmokingMixedareas,VERRUCOUSLEUKOPLAKIA,VERRUCOUS CARCINOMA & ORAL SQUAMOUS CELL CARCINOMA,SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
UNADWhiteIrregularL1MNADPiNADSNOYesHyesBsulcus,VERRUCOUSLEUKOPLAKIA,VERRUCOUS CARCINOMA & CARCINOMA IN SITU,SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
UNADWhiteIrregularM1MNADPiNADSNOYesHyesBsulcus,VERRUCOUSLEUKOPLAKIA,VERRUCOUS CARCINOMA & ORAL SQUAMOUS CELL CARCINOMA,SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
UNADWhiteIrregularL1MNADPiNADSNOYesSmokingBsulcus,VERRUCOUSLEUKOPLAKIA,VERRUCOUS CARCINOMA & CARCINOMA IN SITU,SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
UNADWhiteIrregularM1MNADPiNADSNOYesSmokingBsulcus,VERRUCOUSLEUKOPLAKIA,VERRUCOUS CARCINOMA & ORAL SQUAMOUS CELL CARCINOMA,SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
UNADWhiteIrregularL1MNADPiNADSNOYesHyesPalate,VERRUCOUSLEUKOPLAKIA,VERRUCOUS CARCINOMA & CARCINOMA IN SITU,SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
UNADWhiteIrregularM1MNADPiNADSNOYesHyesPalate,VERRUCOUSLEUKOPLAKIA,VERRUCOUS CARCINOMA & ORAL SQUAMOUS CELL CARCINOMA,SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
UNADWhiteIrregularL1MNADPiNADSNOYesSmokingPalate,VERRUCOUSLEUKOPLAKIA,VERRUCOUS CARCINOMA & CARCINOMA IN SITU,SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
UNADWhiteIrregularM1MNADPiNADSNOYesSmokingPalate,VERRUCOUSLEUKOPLAKIA,VERRUCOUS CARCINOMA & ORAL SQUAMOUS CELL CARCINOMA,SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
UNADWhiteIrregularL1MNADPiNADSNOYesHyesDorsumtongue,VERRUCOUSLEUKOPLAKIA,VERRUCOUS CARCINOMA & CARCINOMA IN SITU,SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
UNADWhiteIrregularM1MNADPiNADSNOYesHyesDorsumtongue,VERRUCOUSLEUKOPLAKIA,VERRUCOUS CARCINOMA & ORAL SQUAMOUS CELL CARCINOMA,SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
UNADWhiteIrregularL1MNADPiNADSNOYesSmokingDorsumtongue,VERRUCOUSLEUKOPLAKIA,VERRUCOUS CARCINOMA & CARCINOMA IN SITU,SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
UNADWhiteIrregularM1MNADPiNADSNOYesSmokingDorsumtongue,VERRUCOUSLEUKOPLAKIA,VERRUCOUS CARCINOMA & ORAL SQUAMOUS CELL CARCINOMA,SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
UNADRedGNADMarblewhiteDarkSharpYes MouthHyesBmucosa,OSMF,BURNING MOUTH SYNDROME,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST & REFER TO A SPECIALIST,,
UNADRedGNADMarblewhiteDarkSNOYes MouthHyesBmucosa,OSMF,BURNING MOUTH SYNDROME,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST & REFER TO A SPECIALIST,,
UNADRedGNADMarblewhitePiNADSharpYes MouthHyesBmucosa,OSMF,BURNING MOUTH SYNDROME,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST & REFER TO A SPECIALIST,,
